size,Blocks
256.000000,50403126273.290070
512.000000,156310097915.445129
768.000000,211063310817.586151
1024.000000,281380380919.909607
1280.000000,404278214928.966125
1536.000000,446688680788.403809
1792.000000,463556133477.765564
2048.000000,473971456873.985474
2304.000000,470454896893.736267
2560.000000,464727553188.469177
2816.000000,461671869115.249207
3072.000000,446254721523.869446
3328.000000,409622894362.357605
3584.000000,407479784403.345886
3840.000000,402377738737.276733
4096.000000,402401695484.737244
4352.000000,400628825441.134033
4608.000000,397467698050.177063
4864.000000,398017298811.093750
5120.000000,398908438066.615173
